url,rental,bedroom,bathroom,carpool,address,property_type,is_air_conditioning,is_floorboard,is_furnished,is_outdoor,is_secure,is_sports,is_recorded
/property-townhouse-wa-applecross-417251550,$425 per week,3,1,2,"6/79 Macleod Road, Applecross, WA 6153",Townhouse,0,0,0,0,1,0,1
/property-house-wa-beechboro-420580250,$480 per week,4,2,2,"19 Rosmead Avenue, Beechboro, WA 6063",House,1,0,0,0,1,0,1
/property-house-wa-maylands-420695158,$495 per week,3,2,2,"1 Sussex Street, Maylands, WA 6051",House,1,0,0,1,1,0,1
/property-apartment-wa-mount+hawthorn-420695506,$420 per week,2,2,1,"4/1 Dunedin Street, Mount Hawthorn, WA 6016",Apartment,1,0,1,1,1,0,1
/property-villa-wa-st+james-420580098,$430 wk,3,1,2,"1/18 Burlington Street, St James, WA 6102",Villa,0,0,1,0,1,0,1
/property-house-wa-rivervale-420580094,$430 per week,4,2,2,"3/147 Kooyong Road, Rivervale, WA 6103",House,1,0,0,1,1,0,1
/property-house-wa-armadale-417881370,$230 per week,3,1,1,"1/17 Devonshire Terrace, Armadale, WA 6112",House,1,0,0,1,1,0,1
/property-house-wa-osborne+park-420695098,$280 per week,2,1,1,"8/122 Albert Street, Osborne Park, WA 6017",House,1,0,0,1,1,1,1
/property-apartment-wa-maylands-420579598,$265 per week,2,1,1,"10/158 Peninsula Road, Maylands, WA 6051",Apartment,1,1,0,1,1,0,1
/property-house-wa-balcatta-414860415,$350 per week,3,1,2,"1/458 Main Street, Balcatta, WA 6021",House,1,0,0,1,1,0,1
/property-house-wa-balga-420062598,$300 per week,3,2,2,"33B Markham Way, Balga, WA 6061",unknown,0,0,0,0,0,0,0
/property-house-wa-cloverdale-420685182,$395 per week,3,2,2,"1B Hoskin Street, Cloverdale, WA 6105",House,1,0,0,1,1,0,1
/property-house-wa-peppermint+grove-417287310,$950 per week,5,2,2,"22 Irvine Street, Peppermint Grove, WA 6011",House,1,0,0,0,1,1,1
/property-house-wa-cottesloe-420692246,"$1,000 per week",4,2,2,"20 Lillian Street, Cottesloe, WA 6011",House,0,1,0,0,1,0,1
